0THAI|ТАЙСЬКА
Pick-Up Button|Клавіша Взяти
ROUNDS SESSION|РАУНДІВ ЗА СЕСІЮ
RESUME SESSION|ПРОДОВЖИТИ СЕСІЮ
Clear playlist|Очистити чергу
Eating contest|Харчове змагання
Aggressive AI:|Агресивний ШІ:
Change Profile|Змінити Профіль
mod_menu_apply|Застосувати зміни до обраних модів
Speedrun timer|Таймер спідрану
jollycoop-name|Веселий Кооператив
Leaving again.|Знову йдеш.
switch_controls_singlejoyconl_special|Клавіша «Вгору»
Something lurks amongst the clouds...|Щось чатує посеред хмар...
Take the longer path to enlightenment|Оберіть довший шлях до вознесіння
A significant gain, but at what cost?|Значне надбання, та якою ціною?
Game Over - Press + Button to restart|Гру закінчено ― натисніть клавішу «+» для перезапуску.
Game Over - Press - Button to restart|Гру закінчено ― натисніть клавішу «-» для перезапуску.
switch_controls_singlejoycon_hold_map|Утримувати клавішу SR
switch_controls_singlejoyconr_special|Клавіша Y
Hold and drag to adjust score awarded|Утримуйте та перетягуйте для налаштування отримуваних балів
ConfigContainer_AlertPasteNoncosmetic|Вставлено <Text> з буферу обміну до <ObjectName>
MenuModList_ModButton_Enable_NonMouse|Натисніть ПІДТВЕРДИТИ, щоб увімкнути ці вмісти, скористайтеся джойстиком, утримуючи ВПРАВО, щоб змінити чергу завантаження
Press CONTINUE to view and accept it.|Натисніть ПРОДОВЖИТИ, щоб переглянути та прийняти її.
Thank you. I do wonder what you want.|Дякую. Мені цікаво, чого ти хочеш.
Another thing you want me to look at?|Ще щось, що тебе цікавить?
Would you like me to read this pearl?|Хочеш, щоб я прочитала цю перлину?
And now you're taking it, apparently.|А тепер ти, вочевидь, забираєш це назад.
Triangle|Клавіша «Трикутник»
Survivor|Вцілілий
Invert X|Інвертувати X
Invert Y|Інвертувати Y
Champion|Чемпіон
NEW GAME|НОВА ГРА
THE MONK|ЧЕРНЕЦЬ
Exterior|Переглянути інформацію про вміст обраного бекапу.
The Wall|Стіна
The Monk|Чернець
WINDOWED|У ВІКНІ
LANGUAGE|МОВА
JAPANESE|ЯПОНСЬКА
KEYBOARD|КЛАВІАТУРА
Keyboard|Клавіатура
4 - TEST|4 - ПЕРЕВІРТЕ
STANDARD|СТАНДАРТ
CONTINUE|ПРОДОВЖИТИ
Add item|Додати предмет
Deaths :|Смертей:
Ascended|Вознеслися
PREVIOUS|ПОПЕРЕДНІЙ
SaveData|Зберегти дані
Presets:|Шаблони:
Oh. You.|О. Ти.
creature|звіре
Seed the determinations of warp point destinations to create less randomness in runs|Фіксує пункти призначення точок варпів, щоб зменшити випадковість у забігах кампанії.
Increases the amount of time before you are forced to come up for air while drowning|Збільшує тривалість часу під водою, перш ніж доводиться спливати нагору через утоплення
Unlock Watcher campaign|Розблокувати кампанію Спостерігача
backup_info_description|Переглянути інформацію про вміст обраного бекапу.
mod_menu_restore_backup|Сталася помилка при спробі зчитати або запустити файл збереження. Проте на цій системі було розпізнано файл бекапу збереження.<LINE><LINE>Продовжіть, щоб почати відновлення бекапу збереження.
Fates have been flipped|Долі змінилися
creaturetype-PinkLizard|Рожевий Ящір
creaturetype-BlueLizard|Блакитний Ящір
creaturetype-Salamander|Саламандра
creaturetype-CyanLizard|Ціановий Ящір
Embraced by a new tribe|Прийнятий новим плем'ям
The Survivor-linebreaks|Вцілілий
The Wanderer-linebreaks|Мандрівник
invert_x_description_ps|Інвертувати горизонтальну вісь для аналогових джойстиків.
invert_y_description_ps|Інвертувати вертикальну вісь для аналогових джойстиків.
Gamepad <X> (Not found)|Ґеймпад <X> (Не знайдено)
switch_controls_special|Клавіша X
No rain timer exception|Без винятку для таймера дощу
Sandbox items unlocked:|Розблоковано елементи Пісочниці:
ps4_save_progress_title|Прогрес Rain World {0}
ps4_save_options_failed|Помилка при зберіганні даних опцій.
ps4_load_options_failed|Дані збереження опцій пошкоджені і будуть видалені.
Failed to get rankings.|Не вдалося отримати рейтинги.
Switch to windowed mode|Увімкнути режим у вікні
OpCheckBox_NonMouseTuto|Натисніть ПІДТВЕРДИТИ, щоб перемкнути
OpComboBox_MouseUseTuto|Двічі клацніть по полю пошуку, щоб шукати
OpRadioButton_MouseTuto|Клацніть, щоб обрати цю опцію
OpTextBox_MouseTutoGrab|Клацніть, щоб почати друкувати
OpTextBox_MouseTutoType|Використовуйте клавіатуру для друку, натисніть ENTER для застосування
ModdingMenu_ControlJump|Обрати / Підтвердити
ModdingMenu_ControlMove|Змінити / Налаштувати
ModdingMenu_ControlPckp|Буфер обміну
MenuModList_AskModApply|Спочатку натисніть ЗАСТОСУВАТИ, перш ніж їх конфігурувати
Jetfish item protection|Захист речей від стриб
Currently Active Preset|Активний шаблон
mod_workshop_upload_ask|Хочете вивантажити цей мод до Майстерні Steam?
Hello there! You again!|Привіт! Знову ти!
Hello there. You again!|Привіт. Знову ти!
No, please, release it!|Ні, будь ласка, відпусти його!
That... That is for me?|Це... Це мені?
...oh... to... save me?|...о... щоб... врятувати мене?
Thank you so very much!|Превелике тобі дякую!
Thank you... Sincerely.|Дякую... Щиро.
Let's see... A pearl...|Нумо подивимося... Перлина...
Why are you doing this?|Чому ти так робиш?
Please don't come back.|Будь ласка, не повертайся.
(Normally requires completing the game as Survivor or Monk to unlock)|(Зазвичай потребує проходження кампанії Вцілілого або Ченця для розблокування)
WARNING! This will reset all of your progress except map exploration.|УВАГА! Це скине весь ваш прогрес, окрім дослідження мапи.
Red Lizards have a tongue and can snap spears in half with their bite|Червоні мають язики й можуть розкусити списи навпіл своїм укусом
(Normally requires finding Orange unlock tokens in the campaign maps)|(Зазвичай потребує знаходження помаранчевих розблокувальних токенів у мапах кампаній)
The intended gameplay loop is to have to actively hunt fresh corpses.|Передбачуваний стиль гри — потреба активно полювати на свіжі трупи.
Some of the metadata for this mod was invalid and cannot be accepted.|Частина метаданих цього моду недійсні й не можуть бути прийняті.
Maybe this is asking too much... But, would you bring me another one?|Можливо, я прошу забагато... Але, не міг би ти принести мені ще одного?
The rain is coming. If you stay, you will drown. Now, leave me alone.|Наближається дощ. Якщо залишишся тут, то потонеш. А тепер дай мені спокій.
watcher-name|Спостерігач
Restart game|Почати знову
THE SURVIVOR|ВЦІЛІЛИЙ
The Exterior|Корпус
Five Pebbles|П'ять Гальок
Subterranean|Підземелля
The Survivor|Вцілілий
The Wanderer|Мандрівник
A New Friend|Новий Друг
You are full|Ви наситилися
Leap the gap|Перестрибніть яму
View credits|Переглянути титри
Pause Button|Клавіша Пауза
Throw Button|Клавіша Кинути
Select level|Обрати рівень
Low wildlife|Мало істот
Level Items:|Предмети рівня:
Barren level|Безплідний рівень
IT'S A DRAW!|НІЧИЯ!
Add creature|Додати істоту
Minor Assist|Дрібна допомога
Major Assist|Значна допомога
CLOSE MANUAL|ЗАКРИТИ ПОСІБНИК
rwremix-name|Rain World Ремікс
...please...|...благаю...
PICK UP button - Return to regional map_1|Клавіша ВЗЯТИ — Повернутися до мапи регіону
PICK UP button - Return to regional map_2|Клавіша «Квадрат» — Повернутися до мапи регіону
PICK UP button - Return to regional map_3|Клавіша Y — Повернутися до мапи регіону
PICK UP button - Return to regional map_4|Клавіша ВЛІВО — Повернутися до мапи регіону
PICK UP button - Return to regional map_5|Клавіша B — Повернутися до мапи регіону
ps4_load_save_slot_restore_corrupt_failed|Дані слоту збереження були пошкоджені.<LINE>Було знайдено бекап слоту збереження, але сталася помилка при спробі його відновити.
Assign player <X> to the default controls|Призначити гравцю <X> керування за замовчуванням
Something lurks above the chimney tops...|Щось чатує над димарями...
These pearls are valued by the Scavengers|Ці перлини цінуються сміттярами
Game Over - Press PAUSE BUTTON to restart|Гру закінчено ― натисніть ПАУЗА для перезапуску.
Player <X> will use any connected gamepad|Гравець <X> використовуватиме будь-який підключений ґеймпад
switch_single_joycon_fast_travel_map_help|Натисніть SR, щоб обрати притулок, з якого хочете продовжити
Press the MAP button to view regional map|Натисніть клавішу МАПА, щоб переглянути мапу регіону
Jellyfish are vulnerable to being stabbed|Медузи вразливі до влучання списів
Are you sure you want to use this preset?|Чи ви впевнені, що хочете ввімкнути цей режим?
Makes Saint's body immune to the elements|Робить Святого невразливим до стихій
The operation timed out. Try again later.|Перевищено час виконання операції. Спробуйте пізніше.
This item already exists on the workshop.|Цей контент вже існує в Майстерні.
Previously uploaded mod has been updated.|Попередньо завантажений мод було оновлено.
And...now you expect me to... talk again?|І... тепер ти очікуєш, що я... знову розмовлятиму?
JUMP button - View map for region_1|Клавіша СТРИБАТИ — Переглянути мапу регіону
JUMP button - View map for region_2|Клавіша «Хрест» — Переглянути мапу регіону
JUMP button - View map for region_3|Клавіша B — Переглянути мапу регіону
JUMP button - View map for region_4|Клавіша ВНИЗ — Переглянути мапу регіону
JUMP button - View map for region_5|Клавіша A — Переглянути мапу регіону
ps4_load_expedition_restore_corrupt|Основні дані Експедиції були пошкоджені, але вдалося відновити останній бекап даних.
You return from scouting a new land|Ви повернулися, розвідавши нові землі
Four Needles under Plentiful Leaves|Чотири Голки під Рясним Листям
However, the game will not be saved|Однак при цьому гра не збережеться
PS4 Dualshock<LINE>Controller Setup|DUALSHOCK®4<LINE>Налаштування Контролера
Hold Pause Button or Escape to exit|Утримуйте клавішу ПАУЗА, щоб вийти
switch_controls_singlejoyconl_pause|Клавіша -
switch_controls_singlejoyconl_throw|Клавіша «Вправо»
switch_controls_singlejoyconr_pause|Клавіша +
switch_controls_singlejoyconr_throw|Клавіша X
Press to add Player <X> to the game|Натисніть, щоб додати Гравця <X> до гри
ps4_save_progress_failed_free_space|Помилка при зберіганні даних. Недостатньо вільного місця. Спробувати знову?
USE UP + DOWN TO ADJUST SCREEN SIZE|КОРИСТУЙТЕСЯ ВГОРУ + ВНИЗ, ЩОБ ЗМІНИТИ РОЗМІР ЕКРАНУ
ConfigMenuTab_RevertHoldButton_Desc|Скасувати поточні зміни до конфігурацій модів та повернутися
MenuModList_ModButton_NameAndAuthor|<ModName> від <ModAuthor>
MenuModList_ModButton_Disable_Mouse|Вимкнути <Mod>
Could not find the files to upload.|Не вдалося знайти файли на вивантаження.
Get... get away... white.... thing.|Іди... іди геть... біле... щось.
Thank you, again. I feel wonderful.|Ще раз дякую тобі. Я почуваюся чудово.
You want me to take a look at that?|Хочеш, щоби я на це подивилася?
Ah, you would like me to read this?|А, хочеш щоби я її прочитала?
This... time... don't... come back.|Цього... разу... не... повертайся.
Hunter|Мисливець
Random|Випадково
CREATE|СТВОРИТИ
DELETE|ВИДАЛИТИ
PRESET|СКИНУТИ
CANCEL|СКАСУВАТИ
Depths|Глибини
SCREEN|ЕКРАН
FRENCH|ФРАНЦУЗЬКА
GERMAN|НІМЕЦЬКА
KOREAN|КОРЕЙСЬКА
Player|Гравець
Square|Клавіша «Квадрат»
Circle|Клавіша «Коло»
Arrows|Стрілки
Paused|Призупинено.
minute|хв.
PLAYER|ГРАВЕЦЬ
ALWAYS|ЗАВЖДИ
REMOVE|ПРИБРАТИ
Food :|Їжі:
Time :|Часу:
cancel|Скасувати
Select|Обрати
? Back|? Назад
? play|? Грати
Legacy|Старе
Cheats|Чити
MANUAL|ПОСІБНИК
TOPICS|ТЕМИ
UPLOAD|ВИВАНТАЖИТИ
LEAVE.|ЙДИ.
You...|Ти...
Hello!|Привіт!
Hello.|Привіт.
Again.|Знов.
*sigh*|*зітхання*
friend|друже
little|маленький
[ Notice ]|[ Сповіщення ]
STORY DATA|ДАНІ СЮЖЕТУ
The Martyr|Мученик
The Mother|Матір
Rain World|Світ Дощу
STATISTICS|СТАТИСТИКА
THE HUNTER|МИСЛИВЕЦЬ
The Hunter|Мисливець
The Outlaw|Злочинець
The Friend|Друг
Pilgrimage|Паломництво
FULLSCREEN|НА ВЕСЬ ЕКРАН
SAVE FILES|ФАЙЛИ ЗБЕРЕЖЕННЯ
PORTUGUESE|ПОРТУГАЛЬСЬКА
TEST INPUT|ПЕРЕВІРИТИ
Left Stick|Лівий джойстик
Hold Space|Утримувати «Пробіл»
Map Button|Клавіша Мапа
Free food!|Безкоштовна їжа!
Loading...|Завантаження...
CROSS-SAVE|КРОС-ЗБЕРЕЖЕННЯ
Load Order|Порядок завантаження
Oh, hello!|О, привіт!
Oh, hello.|О, привіт.
You again.|Знову ти.
...rain...|дощ...
...stop...|...зупинись...
Thank you.|Дякую.
Issues found while loading mods!<LINE>Disabling problematic mods.<LINE>Press continue and then launch the game again.|Під час завантаження модів виникли помилки!<LINE>Проблемні моди будуть вимкнені.<LINE>Натисніть ПРОДОВЖИТИ й тоді перезапустіть гру знову.
...you ate... me. Please go away. I won't speak... to you.<LINE>I... CAN'T speak to you... because... you ate...me...|...ти з'їв... мене. Будь ласка, забирайся геть. Я не розмовлятиму...<LINE>з тобою. Я... не МОЖУ розмовляти з тобою... бо... ти з'їв... мене...
First you hurt me, then you come back to annoy me.<LINE>I wish I knew what was going on in that little head of yours.|Спочатку ти нехтуєш моїми почуттями, а потім повертаєшся<LINE>дратувати мене. Хотілося б знати, що коїлося у твоїй маленькій голівці.
It's a weapon made with fire powder. Did the scavengers give this to you?<LINE>Be very careful if you have to use it!|Це зброя, зроблена з вогняного порошку. То тобі дали Сміттярі?<LINE>Будь дуже обережним, якщо тобі доведеться цим скористатися!
Desync detected between user mod data and game mod data!<LINE>Re-sycing data.<LINE>Press continue and then launch the game again.<LINE>Disabled mods:|Розпізнана розсинхронізація між даними користувацьких модів і гри!<LINE>Повторна синхронізація даних.<LINE>Натисніть ПРОДОВЖИТИ й перезапустіть гру.<LINE>Вимкнені моди:
Stops nearby explosions causing a ringing sound to play|Запобігає відтворенню дзвону, спричиненого вибухами поблизу
Find the canonical ending to The Spearmaster's campaign|Знайдіть канонічну кінцівку кампанії Майстра Списа
Assign player <X> to the default PS4 Dualshock controls|Призначити гравцю <X> керування DUALSHOCK®4 за замовчуванням
Strange... it seems to have been used not too long ago.|Дивно... Здається, нею не так давно користувалися.
backup_delete_confirm|Ви впевнені, що хочете видалити бекап від {X}?<LINE>Ця дія незворотня.
backup_delete_success|Бекап від {X} був успішно видалений.
backup_create_success|Новий бекап від {X} був створений з поточних даних вашого збереження.
backup_restore_failed|Під час відновлення даних збереження від {X} сталася помилка. Щоб захистити дані вашого збереження, запуск гри був призупинений.<LINE><LINE>Хочете ще раз спробувати відновити дані бекапу?
Take what isn't yours|Привластніть чуже
Generating map images|Створюються зображення мап
objecttype-SporePlant|Вулик
objecttype-NSHSwarmer|Зелений нейрон
creaturetype-SeaLeech|Морська п'явка
creaturetype-TubeWorm|Хапальний черв'як
creaturetype-Overseer|Наглядач
Path of the carnivore|Шлях хижака
The Hunter-linebreaks|Мисливець
The Outlaw-linebreaks|Вбивця
The Friend-linebreaks|Друг
Sound effects volume:|Гучність звукових ефектів:
XBox Controller Setup|Налаштування контролера XBox
switch_controls_pause|Клавіша +
switch_controls_throw|Клавіша A
Add level to playlist|Додати рівень до черги
switch_update_players|Оновити гравців
Play each level twice|Зіграти кожен рівень двічі
mod_menu_reapply_mods|Деякі ввімкнені моди були оновлені з останнього запуску гри. Натисніть ПРОДОВЖИТИ, щоб застосувати оновлення.
OpUpdown_NonMouseGrab|Натисніть ПІДТВЕРДИТИ, щоб взаємодіяти
OpScrollBox_MouseTuto|Скористуйтеся коліщатком прокрутки, щоб побачити більше
ModdingMenu_PckpTuto0|Взаємодії з буфером обміну:
ModdingMenu_PckpTuto1|Спочатку оберіть елемент, який можна налаштувати, клавішею СТРИБНУТИ
ModdingMenu_PckpTuto2|утримуйте клавішу ВЗЯТИ і натисніть клавішу СТРИБНУТИ, щоб скопіювати до буферу обміну
ModdingMenu_PckpTuto3|Утримуйте клавішу ВЗЯТИ і натисніть клавішу КИНУТИ, щоб вставити з буферу обміну
MenuModList_DummyDesc|Базова версія Rain World
OIError_GeneralAdvice|Помилка може бути вирішена завантаженням найновітнішої версії моду.
No swim boost penalty|Підводні прискорення задарма
Rain Timer Multiplier|Множник відліку Дощу
Tweaked deer behavior|Налаштована поведінка дощових оленей
Alternate grenade arc|Альтернативна дуга гранат
Item stems in sandbox|Стебла предметів у Пісочниці
Reduce screen shaking|Зменшення дрижання екрану
Unlock all challenges|Розблокувати всі випробування
Gathering information|Збір інформації
jollycoop-description|Локальний кооперативний сюжет та інші режими гри для групи до 4 гравців. З друзями подорож стає ще цікавішою!
You had your chances.|Тебе попереджали.
Oh, you want it back?|О, хочеш забрати це назад?
backup_restore_description|Перезапишіть дані поточного збереження вмістом обраного бекапу.
ps4_load_expedition_failed|Дані збереження Експедиції пошкоджені і будуть видалені.
Complete the Saint passage|Отримайте перехід Святого
Complete the Nomad passage|Отримайте перехід Кочівника
objecttype-SLOracleSwarmer|Нейрон
objecttype-SSOracleSwarmer|Нейрон
objecttype-OverseerCarcass|Око Наглядача
creaturetype-DaddyLongLegs|Батько Довгоніг
creaturetype-TentaclePlant|Хижа Водорость
creaturetype-SpitterSpider|Плюйпавук
creaturetype-BigNeedleWorm|Локшинниця
Briefly tap DOWN to crouch|Коротко натисніть ВНИЗ аби присісти навпочіпки
Double tap to switch hands|Натисніть двічі, щоб перекласти предмети в руках
Player <X> is in the game!|Гравець <X> у грі!
Remove level from playlist|Вилучити рівень з черги
Resume unfinished playlist|Відновити незавершену чергу
Play each level four times|Зіграти кожен рівень чотири рази
Play each level five times|Зіграти кожен рівень п'ять разів
mod_menu_fail_requirements|Цей мод не можна використовувати через проблеми з вимогами! Перевірте, чи встановлені наступні додаткові моди, і чи не мають вони власних проблем:
OpComboBox_MouseSearchTuto|Наберіть запит у полі пошуку, щоб шукати
OpComboBox_NonMouseUseTuto|Прогортайте за допомогою джойстика й натисніть ПІДТВЕРДИТИ щоб вибрати
OpDragger_NonMouseGrabTuto|Натисніть ПІДТВЕРДИТИ, щоб взаємодіяти
OpRadioButton_NonMouseTuto|Натисніть ПІДТВЕРДИТИ, щоб обрати цю опцію
OpColorPicker_MouseRGBTuto|Оберіть колір за допомогою кольорових повзунків
OpColorPicker_MouseHSLTuto|Оберіть колір з квадрату палітри кольорів та повзунку світлості
OpColorPicker_MousePLTTuto|Оберіть колір з палітри
MenuModList_SearchBox_Desc|Клацніть та друкуйте, щоб шукати моди
Connector_SaveConfig_Alert|Збережено поточні налаштування моду <ModName>
OIError_Message_Initialize|При ініціалізації OptionInterface виникла помилка.
Vulture grub arena variety|Різноманітність личинок стерв'ятників в арені
Lossless scavenger corpses|Стійкі трупи сміттярів
Continue to the next cycle|Перейти до наступного циклу
Or did I say that already?|Чи я вже це казала?
Hello again, <PlayerName>!|Привіт знову, <PlayerName>!
Hello again, <PlayerName>.|Привіт знову, <PlayerName>.
I will accept your gift...|Я прийму твій подарунок...
CLOSE|ЗАКРИТИ
STORY|СЮЖЕТ
ARENA|АРЕНА
REMIX|РЕМІКС
Cycle|Цикл
Music|Музика
INPUT|ВВЕДЕННЯ
Pause|Пауза
Throw|Кинути
Right|Вправо
Cross|Клавіша «Хрест»
Space|Пробіл
Shift|Shift
PLAY!|ГРАТИ!
Play!|Грати!
ERROR|ПОМИЛКА
SCORE|РАХУНОК
ROUND|РАУНД
APPLY|ЗАСТОСУВАТИ
Other|Інше
Remix|Ремікс
...me|...мене
Oh...|О...
STOP!|ГОДІ!
no...|ні...
ps4_load_expedition_run_restore_corrupt_failed|Поточні дані Експедиції були пошкоджені.<LINE>Було знайдено бекап даних, але сталася помилка при спробі його відновити.
You have delivered your most important message|Ви передали своє найважливіше повідомлення
You completed every challenge laid before you.|Ви виконали всі випробування, що постали перед вами.
Clear every milestone quest in Expedition Mode|Пройдіть кожну етапну місію в режимі Експедицій
You are not the only lost soul in this world..|Ви не єдина загублена душа в цьому світі..
Additional food (above four) is kept for later|Надлишок їжі (більше чотирьох) відкладається на потім
Grab your prey and hold the eat button to feed|Хапайте здобич і утримуйте клавішу ЇСТИ, щоб харчуватися
MenuModList_ModButton_Disable_NonMouse_Console|Натисніть ПІДТВЕРДИТИ, щоб вимкнути ці вмісти, натисніть ВПРАВО, щоб повернутися до списку
MenuModList_ModButton_NonMouse_Display_Console|Натисніть СТРИБАТИ, щоб показати, натисніть ВЛІВО, щоб перейти до клавіші перемикання цих вмістів
ConfigTabController_TabSelectButton_UnnamedTab|Перейти до вкладки #<TabIndex>
Not that it solves anyone's problem but yours.|Нехай навіть це нікому, окрім тебе, і не допоможе.
As I mentioned you do not have unlimited time.|Як я вже казав, твій час не безкінечний.
Another? You're no better than the scavengers!|Ще одна? Та ти не гірший за сміттярів!
I won't talk to you if you continue like this.|Я не розмовлятиму з тобою, якщо ти так продовжиш.
ps4_load_expedition_restore_corrupt_failed|Основні дані Експедиції були пошкоджені.<LINE>Було знайдено бекап основних даних, але сталася помилка при спробі його відновити.
Something lurks where the land fissures...|Щось чатує там, де розколюється земля...
This place is safe. Stay here to hibernate|Тут безпечно. Залишіться тут, щоб впасти у сплячку
There are also other significant drawbacks|Також є й інші суттєві недоліки
When only one player left, rain approaches|Якщо залишається тільки один гравець, завчасно починається дощ.
ps4_save_expedition_core_failed_free_space|Помилка при зберіганні основних даних Експедиції. Недостатньо вільного місця. Спробувати знову?
I... won't speak to you... if you do that.|Я... не розмовлятиму з тобою... якщо ти це зробиш.
Ah... <PlayerName>, a neuron from Pebbles?|А... <PlayerName>, нейрон від Гальки?
ps4_load_save_slot_restore_corrupt|Дані слоту збереження були пошкоджені, але вдалося відновити останній бекап слоту збереження.
Complete the Dragon Slayer passage|Отримайте перехід Драконовбивці
Something lurks in the darkness...|Щось чатує в темряві...
Complete the game as The Artificer|Пройдіть гру за Техніка
Five Pebbles (General Systems Bus)|П'ять Гальок (Загальна Системна Шина)
Pick up / Eat button interactions:|Взаємодії з клавішею Взяти / З'їсти:
Game Over - Press SPACE to restart|Гру закінчено ― натисніть ПРОБІЛ для перезапуску.
switch_controls_singlejoyconl_jump|Клавіша «Вниз»
switch_controls_singlejoyconr_jump|Клавіша A
ps4_save_options_failed_free_space|Помилка при зберіганні даних опцій. Недостатньо вільного місця. Спробувати знову?
ConfigContainer_AlertPasteCosmetic|Вставлено <Text> з буферу обміну
MenuModList_ModButton_Enable_Mouse|Увімкнути <Mod>
Stronger bottomless pit indicators|Посилені індикатори бездонних прірв
Monk-style gates for all campaigns|Брами Ченця в інших кампаніях
Are you sure you want to continue?|Чи ви впевнені, що хочете продовжити?
That's all. You'll have to go now.|Це все. Тобі час іти.
You again? I have nothing for you.|Знов ти? У мене нічого для тебе немає.
I wonder what it is that you want?|Цікаво, чого ж ти хочеш?
I wish you would stop coming here.|Хотілося б, щоб ти перестав сюди повертатися.
Oh... Of course I will take a look|О... Звісно, зараз подивлюся.
ps4_load_expedition_run_restore_corrupt|Поточні дані Експедиції були пошкоджені, але вдалося відновити останній бекап даних.
Clear every challenge in Challenge Mode|Пройдіть кожне випробування в режимі Випробовувань.
ConfigMenuTab_ModPercentageButton_Label|Увімкнених Модів: <CountModEnabled> / <CountModTotal>
Allows Saint to be able to throw spears|Дозволяє Святому застосовувати списи.
The following options contain spoilers.|Наступні опції містять спойлери.
Workshop upload completed successfully!|Вивантаження до Майстерні успішно завершено!
<CapPlayerName>! Stay still and listen.|<CapPlayerName>! Вгамуйся та послухай.
invert_x_description|Інвертувати горизонтальну вісь для аналогових джойстиків.
invert_y_description|Інвертувати вертикальну вісь для аналогових джойстиків.
rounds per level-ru2|раунди на рівень
objecttype-FlareBomb|Сяйбомба
objecttype-DataPearl|Перлина
objecttype-JellyFish|Медуза
objecttype-SlimeMold|Слизовик
objecttype-EggBugEgg|Яйце Яйцежука
objecttype-NeedleEgg|Яйце Локшинниці
creaturetype-Slugcat|Слимакіт
creaturetype-Vulture|Стерв'ятник
creaturetype-CicadaA|Кальмарокада
creaturetype-CicadaB|Кальмарокада
creaturetype-JetFish|Стриба
creaturetype-DropBug|Падовійка
Communications Array|Комунікаційний Масив
Stolen Enlightenment|Викрадене Просвітлення 
Path of the pacifist|Шлях пацифіста
The Saint-linebreaks|Святий
switch_controls_jump|Клавіша B
Gametype description|Опис режиму гри
Play each level once|Зіграти кожен рівень один раз
Normal Rain World AI|Звичайний ШІ Світу Дощу
for killing creature|за вбивство істоти
Persistent creatures|Наполегливі істоти
controller_reconnect|Будь ласка, перепід'єднайте контролер гравця {0}.
mod_menu_requirement|Потребує додаткові моди:
mod_menu_ext_authors|Переглянути лист з титрами цього моду
mod_menu_disable_all|Вимкнути всі моди
Building token cache|Набудовування кешу токенів
OpCheckBox_MouseTuto|Клацніть, щоб перемкнути
OpUpdown_NonMouseUse|Скористайтеся джойстиком, щоб налаштувати, натисніть ПІДТВЕРДИТИ щоб застосувати
MenuModStat_ModsFail|Встановлених модів з незадоволеними вимогами:
Connector_UnnamedTab|#<TabIndex>
Increased stun times|Збільшена тривалість приголомшень
Wiggle out of grasps|Вивертання з захватів
Key items on Passage|Ключові предмети при Переході
Monk extended breath|Подовжене дихання Ченця
Breath time leniency|Поблажливість до часу дихання
Rain timer tick-tock|Цокання відліку дощу
Vulnerable jellyfish|Вразливі медузи
Unlock all campaigns|Розблокувати всі кампанії
More Slugcats Cheats|Чити More Slugcats
Exit to title screen|Вийти до головного меню
Preparing for upload|Підготовка до вивантаження
devtools-description|Вмикає внутрішньоігрові інструменти розробників, які надають необхідні засоби для редагування карт і регіонів, а також допомагають у процесі модифікування гри.<LINE> <LINE>Натисніть O в грі, щоб увімкнути/вимкнути інструменти розробників, і натисніть H,<LINE>щоб відкрити головний інтерфейс інструментів розробників.
...leave me alone...|...залиш мене в спокої...
Hello, <PlayerName>!|Привіт, <PlayerName>!
Hello, <PlayerName>.|Привіт, <PlayerName>.
...don't... do that.|...не роби... цього.
Another gift for me?|Ще один подарунок для мене?
Again? ... just, go.|Знову? ...та йди ти вже.
Little archaeologist|Маленький археологу
Clear the game as Survivor or Monk to unlock.|Пройдіть гру за Вцілілого або Ченця, щоб розблокувати.
Objects can be picked up, carried, and tossed|Об'єкти можна підіймати, носити та кидати
Some small creatures can be eaten immediately|Деяких дрібних істот можна з'їсти одразу
MenuModList_ModButton_Enable_NonMouse_Console|Натисніть ПІДТВЕРДИТИ, щоб увімкнути ці вмісти, натисніть ВПРАВО, щоб повернутися до списку
Show icons of nearby creatures on the minimap|Показує іконки навколишніх істот на мінімапі
You are bringing a neuron. Is it to taunt me?|Ти приніс нейрона. Щоби поглузувати з мене?
Your curiosity seems boundless, <PlayerName>.|Твоя допитливість видається безмежною, <PlayerName>.
remix_dlc_restart|Якщо ви купили доповнення, вам треба буде перезапустити гру, щоб застосувалися нові вмісти.
Expedition Leader|Очільник Експедицій
creaturetype-Deer|Дощовий олень
Looks to the Moon|Споглядачка Місяця
Filtration System|Система Фільтрації
The Dragon Slayer|Драконоборець
Back to main menu|Повернутися до головного меню
1 - SELECT PLAYER|1 - ОБЕРІТЬ ГРАВЦЯ
2 - SELECT DEVICE|2 - ОБЕРІТЬ ПРИСТРІЙ
Previous gametype|Попередній режим гри
Reset score setup|Скинути налаштування підрахунку балів
ps4_press_to_join|Натисніть<LINE><LINE><LINE>щоб приєднатися.
minute until rain|хв. до дощу
per point of food|за споживання їжі
Delivered Payload|Доставлено Вантаж
Leaderboard empty|Рейтинг порожній
mod_menu_finalize|(Фіналізування застосування модів, будь ласка, почекайте...)
MenuModStat_ModID|ID: <ModID>
Key item tracking|Відстежування ключових предметів
Alpha red lizards|Червоні альфи
Unlock all arenas|Розблокувати всі арени
moreslugcats-name|Доповнення More Slugcats
Yet another gift?|Ще один подарунок?
And you are back.|І ти повернувся.
Within Time|Вчасно
The Pilgrim|Паломник
DELETE SAVE|ВИДАЛИТИ ЗБЕРЕЖЕННЯ
Sky Islands|Небесні Острови
Farm Arrays|Масиви Ферм
The Scholar|Учень
The Journey|Подорож
Arena Music|Музика арени
Jump Button|Клавіша Стрибнути
