0Bite|Кусати
For what reason do you visit so often? There is nothing more I can do for you.|З якої причини ти так часто відвідуєш мене? Нічого більшого тобі зробити я не можу.
I have nothing for you here little messenger. Please, I have little time left.|У мене нічого для тебе немає, бідолахо. Будь ласка, мені недовго лишилося.
Why did you send the messenger here again? Please leave, I cannot afford any further<LINE>distractions; I am the only one who can fix this now. I trust that you understand me...|Нащо ти знову вислав сюди посланця? Будь ласка, залиш мене у спокої, я не можу собі дозволити надалі відволікатися; Я єдиний, хто тепер може це виправити. Певен, ти зрозумієш.
How did it even manage to do that?...|Як у неї взагалі це вдалося?...
...Nothing here... Nothing... left...|...Тут нічого... Нічого... не залишилося...
I would appreciate if you would not eat those. My umbilical will keep me conscious, but<LINE>every neuron lost is a piece of me lost as well...|Був би тобі вдячний, якби ти їх не їв. Мій сполучний кабель утримає мене при свідомості,<LINE>але кожен втрачений нейрон — це також втрачена частинка мого Я...
Why have you returned? Do you have a death wish? I have nothing<LINE>left to give you... please leave, for your own sake.|Чому ти повернувся? Тобі померти закортіло? Мені нічого не залишилося<LINE>тобі запропонувати... будь ласка, йди, заради свого ж блага.
You should not be here. This facility is in a constant state of decay.<LINE>Nothing in here is hospitable to the normal definition of life.|Ти не повинен бути тут. Цей заклад перебуває в постійному стані занепаду.<LINE>Нічого тут не придатне для типового визначення життя.
I used to be furious at the idea of creatures crawling through my superstructure.<LINE>However, I am actually grateful for this rare opportunity to not be alone.|Колись мене бісила ідея того, що істоти на кшталт тебе нишпорять моєю суперструктурою.<LINE>Проте, я насправді вдячний такій рідкісній можливості поспілкуватися.
This easter egg was inspired by the original Moar Slugcats Dating Sim mod, but has no affiliation with the original creators.|Ця пасхалка була натхнена оригінальним модом More Slugcats Dating Sim, але не має відношення до первісних авторів.
